Id;GroupCode;AccountingCode;Major;Grouping
457;"7062 ";"3014 ";B;"2.3.2    "
458;"7062 ";"3015 ";B;"2.3.2    "
459;"7062 ";"3022 ";B;"2.3.2    "
460;"7062 ";"3023 ";B;"2.3.2    "
461;"7062 ";"3040 ";B;"2.3.2    "
462;"7062 ";"3041 ";B;"2.3.2    "
463;"7062 ";"3043 ";B;"2.3.2    "
464;"7062 ";"3047 ";B;"2.3.2    "
465;"7062 ";"3048 ";B;"2.3.2    "
466;"7062 ";"3050 ";B;"2.3.2    "
467;"7062 ";"3052 ";B;"2.3.2    "
468;"7062 ";"3054 ";B;"2.3.2    "
469;"7062 ";"3060 ";B;"2.3.2    "
470;"7062 ";"3061 ";B;"2.3.2    "
471;"7062 ";"3062 ";B;"2.3.2    "
472;"7062 ";"3070 ";B;"2.3.2    "
473;"7062 ";"3072 ";B;"2.3.2    "
474;"7062 ";"3075 ";B;"2.3.2    "
475;"7062 ";"3080 ";B;"2.3.2    "
476;"7062 ";"3133 ";B;"2.3.2    "
477;"7062 ";"3135 ";B;"2.3.2    "
478;"7062 ";"3136 ";B;"2.3.2    "
479;"7062 ";"3137 ";B;"2.3.2    "
480;"7062 ";"3138 ";B;"2.3.2    "
481;"7062 ";"3142 ";B;"2.3.2    "
482;"7062 ";"3146 ";B;"2.3.2    "
483;"7062 ";"3212 ";B;"2.3.2    "
484;"7062 ";"6000 ";B;"2.3.2    "
485;"7037 ";"3056 ";B;"2.3.2    "
486;"7064 ";"3050 ";B;"2.3.2    "
487;"7065 ";"3050 ";B;"2.3.2    "
488;"7064 ";"3041 ";B;"2.3.2    "
489;"7064 ";"3014 ";B;"2.3.2    "
490;"7064 ";"3136 ";B;"2.3.2    "
491;"7064 ";"3133 ";B;"2.3.2    "
492;"7064 ";"3022 ";B;"2.3.2    "
493;"7064 ";"3137 ";B;"2.3.2    "
494;"7064 ";"3146 ";B;"2.3.2    "
495;"7064 ";"3143 ";B;"2.3.2    "
496;"7064 ";"3138 ";B;"2.3.2    "
497;"7064 ";"3023 ";B;"2.3.2    "
498;"7064 ";"3142 ";B;"2.3.2    "
499;"7064 ";"3048 ";B;"2.3.2    "
500;"7064 ";"3040 ";B;"2.3.2    "
501;"7064 ";"3060 ";B;"2.3.2    "
502;"7064 ";"3075 ";B;"2.3.2    "
503;"7064 ";"3047 ";B;"2.3.2    "
504;"7064 ";"3062 ";B;"2.3.2    "
505;"7064 ";"3072 ";B;"2.3.2    "
506;"7064 ";"3059 ";B;"2.3.2    "
507;"7064 ";"3052 ";B;"2.3.2    "
508;"7064 ";"3080 ";B;"2.3.2    "
509;"7064 ";"3064 ";B;"2.3.2    "
510;"7064 ";"3069 ";B;"2.3.2    "
511;"7064 ";"3071 ";B;"2.3.2    "
512;"7064 ";"3054 ";B;"2.3.2    "
513;"7064 ";"3043 ";B;"2.3.2    "
514;"7064 ";"3063 ";B;"2.3.2    "
515;"7065 ";"3130 ";B;"2.3.2    "
516;"7065 ";"3127 ";B;"2.3.2    "
517;"7065 ";"3018 ";B;"2.3.2    "
518;"7065 ";"3131 ";B;"2.3.2    "
519;"7065 ";"3129 ";B;"2.3.2    "
520;"7065 ";"3144 ";B;"2.3.2    "
521;"7065 ";"3132 ";B;"2.3.2    "
522;"7065 ";"3019 ";B;"2.3.2    "
523;"7065 ";"3141 ";B;"2.3.2    "
524;"7065 ";"3214 ";B;"2.3.2    "
525;"7066 ";"3041 ";B;"2.3.2    "
526;"7066 ";"3014 ";B;"2.3.2    "
527;"7066 ";"3136 ";B;"2.3.2    "
528;"7066 ";"3133 ";B;"2.3.2    "
529;"7066 ";"3022 ";B;"2.3.2    "
530;"7066 ";"3137 ";B;"2.3.2    "
531;"7066 ";"3146 ";B;"2.3.2    "
532;"7066 ";"3143 ";B;"2.3.2    "
533;"7066 ";"3138 ";B;"2.3.2    "
534;"7066 ";"3023 ";B;"2.3.2    "
535;"7066 ";"3142 ";B;"2.3.2    "
536;"7066 ";"3048 ";B;"2.3.2    "
537;"7066 ";"3050 ";B;"2.3.2    "
538;"7066 ";"3040 ";B;"2.3.2    "
539;"7066 ";"3060 ";B;"2.3.2    "
540;"7066 ";"3075 ";B;"2.3.2    "
541;"7066 ";"3047 ";B;"2.3.2    "
