id;ts_code;product_code;qty;created_by;created_date;updated_by;updated_date;is_active
154;094400;90088;1.000;"Stainly Langkay";"2014-09-10 14:45:43.820";NULL;NULL;Y
155;066551;65221;1.000;"Stainly Langkay";"2014-09-10 14:56:06.170";NULL;NULL;Y
156;066551;60138;1.000;"Stainly Langkay";"2014-09-10 14:56:06.170";NULL;NULL;Y
157;059551;51597;1.000;"Stainly Langkay";"2014-09-10 15:51:53.767";NULL;NULL;Y
158;094401;90596;1.000;"Stainly Langkay";"2014-09-10 15:54:13.057";NULL;NULL;Y
159;094401;90597;1.000;"Stainly Langkay";"2014-09-10 15:54:13.057";NULL;NULL;Y
160;094402;90812;2.000;Uwen;"2014-09-10 16:33:18.963";NULL;NULL;Y
161;066499;60064;2.000;Uwen;"2014-09-11 08:43:41.437";NULL;NULL;Y
162;059552;51458;3.000;Uwen;"2014-09-11 08:59:06.540";NULL;NULL;Y
163;059552;52401;3.000;Uwen;"2014-09-11 08:59:06.540";NULL;NULL;Y
164;066500;70127;20.000;Uwen;"2014-09-11 09:03:45.027";NULL;NULL;Y
165;059553;50135;1.000;Uwen;"2014-09-11 09:04:46.143";NULL;NULL;Y
166;059553;50943;1.000;Uwen;"2014-09-11 09:04:46.143";NULL;NULL;Y
167;059554;51458;1.000;"Stainly Langkay";"2014-09-11 09:42:12.607";NULL;NULL;Y
168;094403;99979;1.000;"Stainly Langkay";"2014-09-11 10:06:52.083";NULL;NULL;Y
169;094403;99978;1.000;"Stainly Langkay";"2014-09-11 10:06:52.083";NULL;NULL;Y
170;066552;61217;15.000;"Stainly Langkay";"2014-09-11 10:26:48.027";NULL;NULL;Y
171;066552;60224;15.000;"Stainly Langkay";"2014-09-11 10:26:48.027";NULL;NULL;Y
172;066552;66425;10.000;"Stainly Langkay";"2014-09-11 10:26:48.027";NULL;NULL;Y
173;066552;61151;10.000;"Stainly Langkay";"2014-09-11 10:26:48.027";NULL;NULL;Y
174;059555;50979;21.000;"Stainly Langkay";"2014-09-11 10:29:47.847";NULL;NULL;Y
175;066553;50071;50.000;"Stainly Langkay";"2014-09-11 10:34:32.523";NULL;NULL;Y
176;059556;51313;1.000;"Stainly Langkay";"2014-09-11 10:37:50.137";NULL;NULL;Y
177;059556;52364;1.000;"Stainly Langkay";"2014-09-11 10:37:50.137";NULL;NULL;Y
178;094404;90886;10.000;"Stainly Langkay";"2014-09-11 10:39:00.850";NULL;NULL;Y
179;059557;52401;1.000;"Daniel Watuna";"2014-09-11 11:31:52.303";NULL;NULL;Y
180;059558;51458;4.000;"Daniel Watuna";"2014-09-11 11:45:42.007";NULL;NULL;Y
181;066554;61941;1.000;Uwen;"2014-09-11 11:59:48.890";Uwen;"2016-09-15 14:42:00.213";N
182;094405;90082;10.000;"Stainly Langkay";"2014-09-11 13:24:52.150";NULL;NULL;Y
183;094405;90088;2.000;"Stainly Langkay";"2014-09-11 13:24:52.150";NULL;NULL;Y
184;094405;91100;5.000;"Stainly Langkay";"2014-09-11 13:24:52.150";NULL;NULL;Y
185;094405;90257;3.000;"Stainly Langkay";"2014-09-11 13:24:52.150";NULL;NULL;Y
187;094405;90812;4.000;"Stainly Langkay";"2014-09-11 13:24:52.150";NULL;NULL;Y
188;066555;62410;3.000;"Stainly Langkay";"2014-09-11 13:27:55.577";NULL;NULL;Y
189;066555;61271;5.000;"Stainly Langkay";"2014-09-11 13:27:55.577";NULL;NULL;Y
190;066555;60522;10.000;"Stainly Langkay";"2014-09-11 13:27:55.577";NULL;NULL;Y
191;066555;60213;3.000;"Stainly Langkay";"2014-09-11 13:27:55.577";NULL;NULL;Y
192;059559;52401;1.000;"Stainly Langkay";"2014-09-11 13:44:30.677";NULL;NULL;Y
193;059560;51458;4.000;"Stainly Langkay";"2014-09-11 14:00:26.853";NULL;NULL;Y
194;059560;52401;2.000;"Stainly Langkay";"2014-09-11 14:00:26.853";NULL;NULL;Y
195;094406;90255;1.000;"Stainly Langkay";"2014-09-11 14:49:22.987";NULL;NULL;Y
196;094406;90256;1.000;"Stainly Langkay";"2014-09-11 14:49:22.987";NULL;NULL;Y
197;059561;52364;1.000;"Stainly Langkay";"2014-09-11 15:14:24.813";NULL;NULL;Y
198;059561;51313;1.000;"Stainly Langkay";"2014-09-11 15:14:24.813";NULL;NULL;Y
199;059561;52346;1.000;"Stainly Langkay";"2014-09-11 15:14:24.813";NULL;NULL;Y
200;059562;52364;1.000;"Stainly Langkay";"2014-09-11 15:18:08.900";NULL;NULL;Y
201;059562;51313;1.000;"Stainly Langkay";"2014-09-11 15:18:08.900";NULL;NULL;Y
202;059562;52346;1.000;"Stainly Langkay";"2014-09-11 15:18:08.900";NULL;NULL;Y
203;059563;52401;2.000;Uwen;"2014-09-11 15:20:37.777";NULL;NULL;Y
204;059564;51458;3.000;"Stainly Langkay";"2014-09-12 08:33:13.457";NULL;NULL;Y
205;059564;52401;3.000;"Stainly Langkay";"2014-09-12 08:33:13.457";NULL;NULL;Y
206;059565;51585;1.000;"Stainly Langkay";"2014-09-12 08:42:57.073";NULL;NULL;Y
207;059565;51504;1.000;"Stainly Langkay";"2014-09-12 08:42:57.073";NULL;NULL;Y
208;066556;62932;50.000;Uwen;"2014-09-12 09:14:42.487";NULL;NULL;Y
209;066556;61837;50.000;Uwen;"2014-09-12 09:14:42.487";NULL;NULL;Y
210;066557;62996;1.000;"Stainly Langkay";"2014-09-12 09:36:12.040";NULL;NULL;Y
211;066558;65911;5.000;"Stainly Langkay";"2014-09-12 09:51:43.343";NULL;NULL;Y
212;066559;60064;2.000;"Stainly Langkay";"2014-09-12 09:59:07.713";NULL;NULL;Y
213;066560;61331;1.000;"Stainly Langkay";"2014-09-12 10:08:38.390";NULL;NULL;Y
214;094407;90058;2.000;Jelita;"2014-09-12 10:33:07.647";NULL;NULL;Y
215;094407;90257;1.000;Jelita;"2014-09-12 10:33:07.647";NULL;NULL;Y
