id;prsnumber;productcode;user_id;created_by;created_date;updated_by;updated_date;is_active
271;203579;62476;USER0008;NULL;NULL;NULL;NULL;Y
272;203580;60826;USER0007;NULL;NULL;NULL;NULL;Y
273;203581;01770;USER0008;NULL;NULL;NULL;NULL;Y
274;203582;63872;USER0008;NULL;NULL;NULL;NULL;Y
275;203582;60029;USER0008;NULL;NULL;NULL;NULL;Y
276;203582;60733;USER0008;NULL;NULL;NULL;NULL;Y
277;203582;50015;USER0008;NULL;NULL;NULL;NULL;Y
278;203582;60545;USER0008;NULL;NULL;NULL;NULL;Y
279;203582;50459;USER0008;NULL;NULL;NULL;NULL;Y
280;203583;64405;USER0007;NULL;NULL;NULL;NULL;Y
281;203585;62867;USER0008;NULL;NULL;NULL;NULL;Y
282;203585;69740;USER0008;NULL;NULL;NULL;NULL;Y
283;203585;69741;USER0008;NULL;NULL;NULL;NULL;Y
284;203585;61601;USER0008;NULL;NULL;NULL;NULL;Y
285;203586;63873;USER0007;NULL;NULL;NULL;NULL;Y
286;203587;60288;USER0007;NULL;NULL;NULL;NULL;Y
287;203588;50459;USER0007;NULL;NULL;NULL;NULL;Y
288;203589;62190;USER0007;NULL;NULL;NULL;NULL;Y
289;203590;69768;USER0007;NULL;NULL;NULL;NULL;Y
290;203591;60258;USER0007;NULL;NULL;NULL;NULL;Y
291;203591;62792;USER0007;NULL;NULL;NULL;NULL;Y
292;203591;66015;USER0007;NULL;NULL;NULL;NULL;Y
293;203592;01771;USER0008;NULL;NULL;NULL;NULL;Y
294;203593;65227;USER0008;NULL;NULL;NULL;NULL;Y
295;203593;60213;USER0008;NULL;NULL;NULL;NULL;Y
296;203593;60029;USER0008;NULL;NULL;NULL;NULL;Y
297;203593;60545;USER0008;NULL;NULL;NULL;NULL;Y
298;203593;50459;USER0008;NULL;NULL;NULL;NULL;Y
299;203593;50015;USER0008;NULL;NULL;NULL;NULL;Y
300;203595;64526;USER0007;NULL;NULL;NULL;NULL;Y
301;203596;62822;USER0008;NULL;NULL;NULL;NULL;Y
302;203597;63504;USER0007;NULL;NULL;NULL;NULL;Y
303;203597;63505;USER0007;NULL;NULL;NULL;NULL;Y
304;203597;63507;USER0007;NULL;NULL;NULL;NULL;Y
