id;prsnumber;canvassername;created_by;created_date;updated_by;updated_date;is_active
331;203910;NULL;SYS;2014-07-19 09:45:28.283;NULL;NULL;Y
332;203911;NULL;SYS;2014-07-19 09:45:28.283;NULL;NULL;Y
333;203912;NULL;SYS;2014-07-19 09:45:28.283;NULL;NULL;Y
334;203913;NULL;SYS;2014-07-19 09:45:28.283;NULL;NULL;Y
335;203914;NULL;SYS;2014-07-19 09:45:28.283;NULL;NULL;Y
336;203914;NULL;SYS;2014-07-19 09:45:28.283;NULL;NULL;Y
337;203914;NULL;SYS;2014-07-19 09:45:28.283;NULL;NULL;Y
338;203915;NULL;SYS;2014-07-19 09:45:28.283;NULL;NULL;Y
339;203916;NULL;SYS;2014-07-19 09:45:28.283;NULL;NULL;Y
340;203917;NULL;SYS;2014-07-19 09:45:28.283;NULL;NULL;Y
341;203918;NULL;SYS;2014-07-19 09:45:28.283;NULL;NULL;Y
342;203918;NULL;SYS;2014-07-19 09:45:28.283;NULL;NULL;Y
343;203918;NULL;SYS;2014-07-19 09:45:28.283;NULL;NULL;Y
344;203921;NULL;SYS;2014-07-19 09:45:28.283;NULL;NULL;Y
345;203922;NULL;SYS;2014-07-19 09:45:28.283;NULL;NULL;Y
346;203923;NULL;SYS;2014-07-19 09:45:28.283;NULL;NULL;Y
347;203924;NULL;SYS;2014-07-19 09:45:28.283;NULL;NULL;Y
348;203925;NULL;SYS;2014-07-19 09:45:28.283;NULL;NULL;Y
349;203927;NULL;SYS;2014-07-19 09:45:28.283;NULL;NULL;Y
350;203928;NULL;SYS;2014-07-19 09:45:28.283;NULL;NULL;Y
351;203933;NULL;SYS;2014-07-19 09:45:28.283;NULL;NULL;Y
352;203934;NULL;SYS;2014-07-19 09:45:28.283;NULL;NULL;Y
353;203935;NULL;SYS;2014-07-19 09:45:28.283;NULL;NULL;Y
354;203936;NULL;SYS;2014-07-19 09:45:28.283;NULL;NULL;Y
355;203939;NULL;SYS;2014-07-19 09:45:28.283;NULL;NULL;Y
